"page_id","wikitext_length_bytes","template_count","image_count","reference_count","heading_count","internal_link_count","external_link_count","category_count","table_tag_count","paragraph_tag_count","rendered_html_length_bytes","render_expansion_ratio","html_tag_count","avg_response_time","is_slow"
1,22096,6,17,0,7,776,3,1,0,16,19684,0.8908399710354815,2024,57.21333333333333,0
2,13144,4,7,1,7,404,1,1,0,14,11295,0.8593274497869751,1080,36.443333333333335,0
6,8236,2,4,5,7,113,0,4,0,34,5086,0.6175327829043225,332,8.393333333333333,0
14,10020,23,0,11,7,85,25,18,0,16,7621,0.7605788423153692,404,23.95,0
17,2908,8,0,1,3,30,3,2,1,6,4141,1.4240027510316369,352,23.236666666666665,0
18,711,1,2,0,0,16,0,1,0,5,928,1.3052039381153304,40,3.57,0
19,14138,17,5,14,9,131,4,1,1,28,6868,0.4857829961805064,496,15.736666666666666,0
27,49368,69,17,45,18,428,61,6,0,78,20363,0.41247366715281153,1310,79.58333333333333,0
33,17292,20,3,17,28,147,5,1,0,46,6784,0.3923201480453389,476,12.78,0
39,18639,31,5,27,15,165,47,5,0,34,10802,0.579537528837384,626,31.366666666666667,0
45,15297,7,1,2,18,90,9,1,0,40,7920,0.5177485781525789,550,37.14,0
47,37283,85,10,25,18,235,49,3,0,62,13247,0.3553093903387603,926,61.45,0
48,17437,15,3,7,26,178,12,1,0,51,8000,0.458794517405517,582,26.583333333333336,0
52,72539,139,12,98,19,509,163,7,2,58,36483,0.502943244323743,2634,165.34,0
54,21233,48,4,18,8,188,42,2,1,28,11866,0.5588470776621297,704,46.553333333333335,0
55,19028,51,5,17,16,211,27,4,0,39,11899,0.6253416018499054,712,59.93,0
56,17065,57,1,22,9,93,31,2,1,16,9269,0.5431585115733958,618,37.80333333333333,0
57,10435,12,2,17,16,58,11,1,0,66,5239,0.5020603737422137,280,29.12333333333333,0
89,17818,58,1,12,8,115,35,2,0,21,9897,0.5554495454035245,580,39.67666666666666,0
90,618,1,2,0,0,18,0,3,0,4,894,1.4466019417475728,44,5.233333333333333,0
94,669,2,1,0,0,10,0,1,0,7,816,1.2197309417040358,30,15.14,0
101,60693,46,13,45,43,162,37,2,0,112,12237,0.2016212742820424,882,48.99,0
103,40750,88,8,63,16,343,86,8,2,48,21043,0.5163926380368098,1406,118.20333333333333,0
104,24374,43,5,32,8,184,52,5,0,22,12781,0.524370230573562,688,44.71333333333333,0
108,142250,78,17,58,22,1393,45,1,1,88,37130,0.26101933216168716,3238,161.05333333333334,0
