page_id,run_number,response_time_ms,status_code,success,error
27,1,62.66,200,1,
27,2,37.37,200,1,
27,3,80.05,200,1,
47,1,32.84,200,1,
47,2,76.54,200,1,
47,3,84.33,200,1,
52,1,216.22,200,1,
52,2,193.14,200,1,
52,3,189.67,200,1,
101,1,33.57,200,1,
101,2,74.64,200,1,
101,3,84.06,200,1,
103,1,110.79,200,1,
103,2,100.04,200,1,
103,3,97.2,200,1,
108,1,129.02,200,1,
108,2,197.94,200,1,
108,3,173.84,200,1,
123,1,4.14,200,1,
123,2,3.94,200,1,
123,3,3.74,200,1,
144,1,18.6,200,1,
144,2,15.48,200,1,
144,3,43.77,200,1,
171,1,7.33,200,1,
171,2,7.25,200,1,
171,3,7.19,200,1,
186,1,11.97,200,1,
186,2,11.85,200,1,
186,3,12.01,200,1,
218,1,87.27,200,1,
218,2,155.78,200,1,
218,3,126.69,200,1,
219,1,203.16,200,1,
219,2,205.41,200,1,
219,3,270.27,200,1,
291,1,110.11,200,1,
291,2,113.7,200,1,
291,3,169.21,200,1,
292,1,24.42,200,1,
292,2,24.55,200,1,
292,3,62.09,200,1,
391,1,208.97,200,1,
391,2,194.71,200,1,
391,3,187.42,200,1,
408,1,107.93,200,1,
408,2,129.52,200,1,
408,3,161.81,200,1,
430,1,27.79,200,1,
430,2,73.28,200,1,
430,3,27.25,200,1,
512,1,6.61,200,1,
512,2,6.85,200,1,
512,3,6.77,200,1,
515,1,86.98,200,1,
515,2,94.6,200,1,
515,3,112.89,200,1,
518,1,54.29,200,1,
518,2,7.03,200,1,
518,3,6.92,200,1,
536,1,6.63,200,1,
536,2,6.25,200,1,
536,3,6.44,200,1,
558,1,106.21,200,1,
558,2,169.86,200,1,
558,3,115.75,200,1,
566,1,203.96,200,1,
566,2,181.12,200,1,
566,3,196.3,200,1,
569,1,26.48,200,1,
569,2,67.52,200,1,
569,3,28.37,200,1,
600,1,102.78,200,1,
600,2,96.79,200,1,
600,3,86.04,200,1,
641,1,92.06,200,1,
641,2,91.23,200,1,
641,3,44.97,200,1,
666,1,4.78,200,1,
666,2,5.1,200,1,
666,3,44.0,200,1,
680,1,18.82,200,1,
680,2,18.87,200,1,
680,3,17.03,200,1,
700,1,482.04,200,1,
700,2,561.77,200,1,
700,3,512.06,200,1,
800,1,197.28,200,1,
800,2,138.42,200,1,
800,3,272.43,200,1,
802,1,106.95,200,1,
802,2,120.86,200,1,
802,3,183.73,200,1,
803,1,100.7,200,1,
803,2,99.63,200,1,
803,3,97.58,200,1,
856,1,115.45,200,1,
856,2,92.49,200,1,
856,3,94.44,200,1,
908,1,12.34,200,1,
908,2,9.19,200,1,
908,3,49.96,200,1,
937,1,4.07,200,1,
937,2,3.86,200,1,
937,3,4.61,200,1,
939,1,704.67,200,1,
939,2,585.71,200,1,
939,3,543.31,200,1,
1977,1,55.31,200,1,
1977,2,8.93,200,1,
1977,3,8.84,200,1,
2124,1,91.01,200,1,
2124,2,134.38,200,1,
2124,3,97.2,200,1,
2132,1,99.3,200,1,
2132,2,189.42,200,1,
2132,3,109.59,200,1,
2138,1,75.37,200,1,
2138,2,32.36,200,1,
2138,3,72.47,200,1,
2876,1,7.0,200,1,
2876,2,7.15,200,1,
