page_id,run_number,response_time_ms,status_code,success,error
1,1,63.65,200,1,
1,2,33.27,200,1,
1,3,74.72,200,1,
2,1,22.52,200,1,
2,2,65.93,200,1,
2,3,20.88,200,1,
6,1,8.41,200,1,
6,2,8.42,200,1,
6,3,8.35,200,1,
14,1,48.98,200,1,
14,2,11.6,200,1,
14,3,11.27,200,1,
17,1,11.28,200,1,
17,2,11.0,200,1,
17,3,47.43,200,1,
18,1,3.65,200,1,
18,2,3.8,200,1,
18,3,3.26,200,1,
19,1,15.9,200,1,
19,2,16.06,200,1,
19,3,15.25,200,1,
27,1,80.67,200,1,
27,2,79.61,200,1,
27,3,78.47,200,1,
33,1,12.77,200,1,
33,2,13.03,200,1,
33,3,12.54,200,1,
39,1,18.98,200,1,
39,2,55.69,200,1,
39,3,19.43,200,1,
45,1,18.09,200,1,
45,2,65.34,200,1,
45,3,27.99,200,1,
47,1,73.12,200,1,
47,2,26.92,200,1,
47,3,84.31,200,1,
48,1,13.27,200,1,
48,2,13.1,200,1,
48,3,53.38,200,1,
52,1,125.72,200,1,
52,2,182.47,200,1,
52,3,187.83,200,1,
54,1,24.82,200,1,
54,2,25.34,200,1,
54,3,89.5,200,1,
55,1,85.35,200,1,
55,2,71.72,200,1,
55,3,22.72,200,1,
56,1,23.72,200,1,
56,2,64.99,200,1,
56,3,24.7,200,1,
57,1,64.27,200,1,
57,2,11.5,200,1,
57,3,11.6,200,1,
89,1,28.68,200,1,
89,2,62.65,200,1,
89,3,27.7,200,1,
90,1,5.03,200,1,
90,2,5.94,200,1,
90,3,4.73,200,1,
94,1,4.63,200,1,
94,2,36.25,200,1,
94,3,4.54,200,1,
101,1,31.55,200,1,
101,2,81.78,200,1,
101,3,33.64,200,1,
103,1,90.72,200,1,
103,2,163.29,200,1,
103,3,100.6,200,1,
104,1,28.68,200,1,
104,2,76.1,200,1,
104,3,29.36,200,1,
108,1,181.26,200,1,
108,2,182.48,200,1,
108,3,119.42,200,1,
110,1,12.6,200,1,
110,2,12.89,200,1,
110,3,51.86,200,1,
112,1,21.92,200,1,
112,2,18.26,200,1,
112,3,59.11,200,1,
120,1,15.61,200,1,
120,2,15.93,200,1,
120,3,15.43,200,1,
123,1,3.46,200,1,
123,2,3.11,200,1,
123,3,3.05,200,1,
127,1,5.38,200,1,
127,2,5.24,200,1,
127,3,32.57,200,1,
131,1,3.32,200,1,
131,2,3.48,200,1,
131,3,3.1,200,1,
134,1,6.29,200,1,
134,2,5.31,200,1,
134,3,5.15,200,1,
135,1,6.77,200,1,
135,2,6.31,200,1,
135,3,6.46,200,1,
144,1,11.85,200,1,
144,2,11.35,200,1,
144,3,36.52,200,1,
149,1,5.12,200,1,
149,2,5.62,200,1,
149,3,4.88,200,1,
164,1,6.41,200,1,
164,2,6.43,200,1,
164,3,7.15,200,1,
171,1,7.7,200,1,
171,2,7.74,200,1,
171,3,8.14,200,1,
178,1,41.4,200,1,
178,2,34.74,200,1,
178,3,65.91,200,1,
185,1,21.97,200,1,
185,2,21.18,200,1,
185,3,62.73,200,1,
186,1,12.44,200,1,
186,2,11.59,200,1,
186,3,10.73,200,1,
188,1,3.66,200,1,
188,2,3.41,200,1,
188,3,3.31,200,1,
190,1,3.56,200,1,
190,2,35.13,200,1,
190,3,4.64,200,1,
208,1,49.09,200,1,
208,2,82.81,200,1,
208,3,88.79,200,1,
218,1,114.33,200,1,
218,2,166.78,200,1,
218,3,98.89,200,1,
219,1,136.28,200,1,
219,2,195.89,200,1,
219,3,180.3,200,1,
242,1,15.78,200,1,
242,2,15.56,200,1,
242,3,52.45,200,1,
248,1,27.55,200,1,
248,2,70.58,200,1,
248,3,25.74,200,1,
256,1,4.05,200,1,
256,2,3.63,200,1,
256,3,3.67,200,1,
262,1,24.52,200,1,
262,2,71.39,200,1,
262,3,70.16,200,1,
278,1,5.6,200,1,
278,2,5.44,200,1,
278,3,4.48,200,1,
285,1,13.67,200,1,
285,2,14.17,200,1,
285,3,13.29,200,1,
291,1,151.5,200,1,
291,2,97.2,200,1,
291,3,97.69,200,1,
292,1,20.61,200,1,
292,2,21.43,200,1,
292,3,72.79,200,1,
296,1,10.98,200,1,
296,2,10.86,200,1,
296,3,10.3,200,1,
304,1,45.0,200,1,
304,2,6.1,200,1,
304,3,15.55,200,1,
308,1,25.86,200,1,
308,2,55.59,200,1,
308,3,26.51,200,1,
309,1,4.57,200,1,
309,2,3.98,200,1,
309,3,4.25,200,1,
310,1,58.49,200,1,
310,2,20.08,200,1,
310,3,20.64,200,1,
312,1,57.5,200,1,
312,2,16.29,200,1,
312,3,15.7,200,1,
315,1,6.45,200,1,
315,2,6.0,200,1,
315,3,6.12,200,1,
318,1,3.73,200,1,
318,2,3.4,200,1,
318,3,3.69,200,1,
323,1,5.91,200,1,
323,2,29.25,200,1,
323,3,6.38,200,1,
349,1,6.32,200,1,
349,2,6.34,200,1,
349,3,6.51,200,1,
355,1,26.51,200,1,
355,2,59.66,200,1,
355,3,38.52,200,1,
361,1,61.73,200,1,
361,2,15.81,200,1,
361,3,16.61,200,1,
363,1,78.99,200,1,
363,2,85.25,200,1,
363,3,38.21,200,1,
370,1,55.65,200,1,
370,2,9.18,200,1,
370,3,9.31,200,1,
387,1,3.35,200,1,
387,2,3.54,200,1,
387,3,3.35,200,1,
391,1,113.9,200,1,
391,2,192.99,200,1,
391,3,181.13,200,1,
400,1,80.34,200,1,
400,2,43.01,200,1,
400,3,70.87,200,1,
401,1,12.84,200,1,
401,2,12.71,200,1,
401,3,12.1,200,1,
402,1,82.0,200,1,
402,2,73.26,200,1,
402,3,24.29,200,1,
403,1,78.34,200,1,
403,2,33.45,200,1,
403,3,79.95,200,1,
408,1,108.82,200,1,
408,2,101.33,200,1,
408,3,200.2,200,1,
423,1,5.63,200,1,
423,2,5.63,200,1,
423,3,5.12,200,1,
425,1,58.74,200,1,
425,2,21.41,200,1,
425,3,20.91,200,1,
426,1,52.23,200,1,
426,2,13.95,200,1,
426,3,12.17,200,1,
430,1,72.7,200,1,
430,2,25.96,200,1,
430,3,24.81,200,1,
453,1,48.48,200,1,
453,2,7.2,200,1,
453,3,6.68,200,1,
460,1,30.02,200,1,
460,2,91.8,200,1,
460,3,81.49,200,1,
468,1,29.87,200,1,
468,2,74.34,200,1,
468,3,77.82,200,1,
469,1,33.42,200,1,
469,2,76.29,200,1,
469,3,89.79,200,1,
472,1,22.14,200,1,
472,2,23.18,200,1,
472,3,69.9,200,1,
473,1,15.57,200,1,
473,2,17.38,200,1,
473,3,57.63,200,1,
474,1,19.66,200,1,
474,2,17.8,200,1,
474,3,61.34,200,1,
478,1,4.47,200,1,
478,2,4.56,200,1,
478,3,4.21,200,1,
505,1,22.37,200,1,
505,2,59.93,200,1,
505,3,25.75,200,1,
510,1,9.0,200,1,
510,2,8.9,200,1,
510,3,8.12,200,1,
512,1,6.73,200,1,
512,2,39.21,200,1,
512,3,6.13,200,1,
514,1,34.04,200,1,
514,2,75.03,200,1,
514,3,101.1,200,1,
515,1,93.2,200,1,
515,2,88.31,200,1,
515,3,44.85,200,1,
518,1,6.41,200,1,
518,2,50.21,200,1,
518,3,6.93,200,1,
524,1,32.17,200,1,
524,2,70.98,200,1,
524,3,29.71,200,1,
525,1,58.04,200,1,
525,2,15.99,200,1,
525,3,15.21,200,1,
528,1,13.95,200,1,
528,2,13.41,200,1,
528,3,50.45,200,1,
530,1,40.57,200,1,
530,2,70.39,200,1,
530,3,25.38,200,1,
536,1,5.81,200,1,
536,2,48.47,200,1,
536,3,6.32,200,1,
542,1,27.82,200,1,
542,2,72.55,200,1,
542,3,29.85,200,1,
558,1,102.09,200,1,
558,2,173.96,200,1,
558,3,111.84,200,1,
564,1,5.25,200,1,
564,2,5.79,200,1,
564,3,7.56,200,1,
566,1,186.13,200,1,
566,2,173.11,200,1,
566,3,137.56,200,1,
569,1,71.22,200,1,
569,2,23.08,200,1,
569,3,64.63,200,1,
577,1,12.12,200,1,
577,2,11.14,200,1,
577,3,11.04,200,1,
590,1,17.81,200,1,
590,2,56.48,200,1,
590,3,19.64,200,1,
591,1,16.26,200,1,
591,2,59.56,200,1,
591,3,17.31,200,1,
592,1,6.43,200,1,
592,2,6.4,200,1,
592,3,6.86,200,1,
600,1,69.02,200,1,
600,2,99.43,200,1,
600,3,97.69,200,1,
609,1,4.04,200,1,
609,2,3.52,200,1,
609,3,3.65,200,1,
628,1,19.9,200,1,
628,2,22.67,200,1,
628,3,54.72,200,1,
632,1,3.67,200,1,
632,2,4.04,200,1,
632,3,3.72,200,1,
636,1,7.91,200,1,
636,2,8.21,200,1,
636,3,8.09,200,1,
637,1,66.47,200,1,
637,2,80.97,200,1,
637,3,34.71,200,1,
641,1,82.95,200,1,
641,2,83.48,200,1,
641,3,38.4,200,1,
643,1,75.04,200,1,
643,2,13.99,200,1,
643,3,14.12,200,1,
649,1,13.52,200,1,
649,2,53.21,200,1,
649,3,13.58,200,1,
660,1,29.51,200,1,
660,2,71.19,200,1,
660,3,77.01,200,1,
664,1,17.62,200,1,
664,2,32.95,200,1,
664,3,55.85,200,1,
666,1,4.15,200,1,
666,2,3.98,200,1,
666,3,3.97,200,1,
673,1,10.13,200,1,
673,2,9.8,200,1,
673,3,9.47,200,1,
680,1,14.49,200,1,
680,2,44.36,200,1,
680,3,14.2,200,1,
683,1,11.63,200,1,
683,2,11.24,200,1,
683,3,11.01,200,1,
684,1,75.76,200,1,
684,2,73.56,200,1,
684,3,26.83,200,1,
700,1,410.3,200,1,
700,2,380.55,200,1,
700,3,397.86,200,1,
703,1,9.93,200,1,
703,2,8.11,200,1,
703,3,7.85,200,1,
725,1,4.27,200,1,
725,2,5.07,200,1,
725,3,4.31,200,1,
733,1,7.56,200,1,
733,2,33.62,200,1,
733,3,6.6,200,1,
744,1,16.1,200,1,
744,2,13.63,200,1,
744,3,14.55,200,1,
750,1,4.09,200,1,
750,2,3.95,200,1,
750,3,4.04,200,1,
789,1,38.93,200,1,
789,2,11.6,200,1,
789,3,11.13,200,1,
800,1,190.53,200,1,
800,2,193.46,200,1,
800,3,126.86,200,1,
802,1,98.57,200,1,
802,2,165.24,200,1,
802,3,50.92,200,1,
803,1,82.14,200,1,
803,2,99.33,200,1,
803,3,74.27,200,1,
828,1,4.69,200,1,
828,2,4.2,200,1,
828,3,4.36,200,1,
833,1,36.53,200,1,
833,2,69.1,200,1,
833,3,86.0,200,1,
845,1,37.77,200,1,
845,2,67.87,200,1,
845,3,23.82,200,1,
847,1,66.97,200,1,
847,2,21.9,200,1,
847,3,22.04,200,1,
851,1,49.49,200,1,
851,2,7.89,200,1,
851,3,7.63,200,1,
856,1,36.84,200,1,
856,2,73.42,200,1,
856,3,84.24,200,1,
858,1,89.76,200,1,
858,2,28.49,200,1,
858,3,76.09,200,1,
872,1,11.41,200,1,
872,2,10.78,200,1,
872,3,10.48,200,1,
882,1,74.37,200,1,
882,2,87.91,200,1,
882,3,101.25,200,1,
884,1,18.39,200,1,
884,2,20.25,200,1,
884,3,60.86,200,1,
893,1,20.19,200,1,
893,2,20.79,200,1,
893,3,75.14,200,1,
895,1,6.94,200,1,
895,2,6.43,200,1,
895,3,6.86,200,1,
896,1,55.8,200,1,
896,2,17.94,200,1,
896,3,18.89,200,1,
905,1,62.62,200,1,
905,2,20.61,200,1,
905,3,21.41,200,1,
908,1,7.47,200,1,
908,2,6.89,200,1,
908,3,44.0,200,1,
926,1,5.53,200,1,
926,2,6.61,200,1,
926,3,5.76,200,1,
937,1,4.17,200,1,
937,2,4.22,200,1,
937,3,3.39,200,1,
939,1,391.79,200,1,
939,2,398.08,200,1,
939,3,400.28,200,1,
942,1,16.91,200,1,
942,2,17.51,200,1,
942,3,56.56,200,1,
946,1,4.87,200,1,
946,2,4.05,200,1,
946,3,3.7,200,1,
949,1,17.54,200,1,
949,2,17.4,200,1,
949,3,49.92,200,1,
950,1,22.2,200,1,
950,2,90.92,200,1,
950,3,21.56,200,1,
955,1,65.06,200,1,
955,2,22.33,200,1,
955,3,20.88,200,1,
1935,1,61.79,200,1,
1935,2,20.12,200,1,
1935,3,20.08,200,1,
1937,1,48.27,200,1,
1937,2,4.4,200,1,
1937,3,4.33,200,1,
1938,1,17.13,200,1,
1938,2,16.84,200,1,
1938,3,16.91,200,1,
1942,1,144.7,200,1,
1942,2,107.79,200,1,
1942,3,124.92,200,1,
1949,1,62.97,200,1,
1949,2,13.49,200,1,
1949,3,14.09,200,1,
1976,1,17.38,200,1,
1976,2,55.88,200,1,
1976,3,17.2,200,1,
1977,1,7.27,200,1,
1977,2,7.14,200,1,
1977,3,6.97,200,1,
2025,1,12.12,200,1,
2025,2,47.88,200,1,
2025,3,11.57,200,1,
2028,1,6.47,200,1,
2028,2,5.74,200,1,
2028,3,5.88,200,1,
2031,1,4.37,200,1,
2031,2,4.58,200,1,
2031,3,4.08,200,1,
2062,1,13.73,200,1,
2062,2,43.3,200,1,
2062,3,13.5,200,1,
2113,1,10.05,200,1,
2113,2,9.52,200,1,
2113,3,9.86,200,1,
2115,1,7.4,200,1,
2115,2,7.61,200,1,
2115,3,40.54,200,1,
2124,1,42.66,200,1,
2124,2,86.9,200,1,
2124,3,106.72,200,1,
2132,1,94.34,200,1,
2132,2,92.44,200,1,
2132,3,92.32,200,1,
2133,1,26.04,200,1,
2133,2,70.0,200,1,
2133,3,23.94,200,1,
2136,1,61.04,200,1,
2136,2,18.8,200,1,
2136,3,17.11,200,1,
2138,1,77.87,200,1,
2138,2,39.34,200,1,
2138,3,71.17,200,1,
2140,1,15.28,200,1,
2140,2,15.74,200,1,
2140,3,57.37,200,1,
2161,1,27.41,200,1,
2161,2,69.73,200,1,
2161,3,25.66,200,1,
2172,1,6.52,200,1,
2172,2,6.68,200,1,
2172,3,6.53,200,1,
2210,1,66.22,200,1,
2210,2,30.47,200,1,
2210,3,75.85,200,1,
2684,1,14.95,200,1,
2684,2,58.87,200,1,
2684,3,15.17,200,1,
2815,1,23.47,200,1,
2815,2,78.43,200,1,
2815,3,23.77,200,1,
2843,1,60.79,200,1,
2843,2,17.26,200,1,
2843,3,16.87,200,1,
2860,1,64.25,200,1,
2860,2,22.65,200,1,
2860,3,22.23,200,1,
2866,1,51.93,200,1,
2866,2,12.32,200,1,
2866,3,11.26,200,1,
2871,1,90.92,200,1,
2871,2,95.58,200,1,
2871,3,99.33,200,1,
2876,1,6.99,200,1,
2876,2,6.1,200,1,
2876,3,5.92,200,1,
2896,1,81.19,200,1,
2896,2,20.19,200,1,
2896,3,20.56,200,1,
2901,1,55.07,200,1,
2901,2,11.79,200,1,
2901,3,11.73,200,1,
2902,1,5.6,200,1,
2902,2,5.28,200,1,
2902,3,4.53,200,1,
2906,1,17.11,200,1,
2906,2,49.48,200,1,
2906,3,17.47,200,1,
2908,1,16.86,200,1,
2908,2,58.66,200,1,
2908,3,16.1,200,1,
2909,1,14.38,200,1,
2909,2,13.66,200,1,
2909,3,52.98,200,1,
2915,1,19.61,200,1,
2915,2,19.9,200,1,
2915,3,61.29,200,1,
2922,1,29.31,200,1,
2922,2,171.55,200,1,
2922,3,29.34,200,1,
2949,1,80.93,200,1,
2949,2,37.44,200,1,
2949,3,82.06,200,1,
2953,1,11.98,200,1,
2953,2,53.79,200,1,
2953,3,12.61,200,1,
2954,1,12.94,200,1,
2954,2,11.73,200,1,
2954,3,12.14,200,1,
2960,1,53.79,200,1,
2960,2,17.74,200,1,
2960,3,16.21,200,1,
2962,1,8.44,200,1,
2962,2,8.29,200,1,
2962,3,8.23,200,1,
2963,1,55.05,200,1,
2963,2,9.33,200,1,
2963,3,9.13,200,1,
2964,1,182.56,200,1,
2964,2,185.26,200,1,
2964,3,200.34,200,1,
2965,1,33.6,200,1,
2965,2,77.09,200,1,
2965,3,34.39,200,1,
2971,1,59.99,200,1,
2971,2,15.5,200,1,
2971,3,13.98,200,1,
2979,1,63.24,200,1,
