page_id,is_slow,routing_mode,response_time_ms,status_code,success,error
639943,1,neuroroute,3267.84,200,true,
933347,0,neuroroute,2358.06,200,true,
348260,0,neuroroute,3352.36,200,true,
36181,0,neuroroute,1359.45,200,true,
41507,0,neuroroute,358.46,200,true,
877017,0,neuroroute,359.59,200,true,
826825,1,neuroroute,2361.26,200,true,
285555,0,neuroroute,1427.55,200,true,
985474,0,neuroroute,158.54,200,true,
158527,0,neuroroute,183.64,200,true,
639761,0,neuroroute,279.19,200,true,
963738,0,neuroroute,280.63,200,true,
762262,0,neuroroute,237.48,200,true,
514494,0,neuroroute,179.46,200,true,
112100,1,neuroroute,396.14,200,true,
348573,1,neuroroute,472.12,200,true,
331335,0,neuroroute,192.09,200,true,
328110,0,neuroroute,192.09,200,true,
854271,0,neuroroute,190.64,200,true,
258850,1,neuroroute,567.90,200,true,
865883,0,neuroroute,210.18,200,true,
353498,1,neuroroute,614.13,200,true,
83979,0,neuroroute,284.04,200,true,
68353,0,neuroroute,286.25,200,true,
900843,0,neuroroute,289.79,200,true,
67061,1,neuroroute,288.83,200,true,
775939,0,neuroroute,318.48,200,true,
131637,1,neuroroute,393.95,200,true,
1152636,0,neuroroute,332.72,200,true,
1012932,0,neuroroute,316.65,200,true,
911285,0,neuroroute,386.65,200,true,
844231,0,neuroroute,449.81,200,true,
411150,0,neuroroute,428.49,200,true,
108744,0,neuroroute,431.34,200,true,
1031685,0,neuroroute,372.60,200,true,
801130,0,neuroroute,374.86,200,true,
767690,0,neuroroute,311.61,200,true,
483682,0,neuroroute,306.10,200,true,
28440,0,neuroroute,284.45,200,true,
751263,0,neuroroute,282.55,200,true,
1258761,0,neuroroute,309.92,200,true,
800764,0,neuroroute,292.89,200,true,
190,0,neuroroute,312.93,200,true,
802868,0,neuroroute,119.21,200,true,
630348,0,neuroroute,227.15,200,true,
709089,0,neuroroute,178.78,200,true,
450910,0,neuroroute,167.58,200,true,
154619,0,neuroroute,117.36,200,true,
155030,0,neuroroute,86.56,200,true,
451507,0,neuroroute,18.76,200,true,
9624,0,neuroroute,49.09,200,true,
129078,0,neuroroute,27.04,200,true,
1070947,0,neuroroute,17.58,200,true,
1057921,0,neuroroute,17.82,200,true,
882066,0,neuroroute,24.94,200,true,
596949,0,neuroroute,59.02,200,true,
195765,0,neuroroute,38.70,200,true,
813759,0,neuroroute,21.44,200,true,
989372,0,neuroroute,39.72,200,true,
792141,0,neuroroute,23.49,200,true,
1073170,0,neuroroute,69.87,200,true,
829944,0,neuroroute,26.78,200,true,
916762,1,neuroroute,2244.71,200,true,
1039076,0,neuroroute,52.01,200,true,
541721,0,neuroroute,23.70,200,true,
510486,0,neuroroute,26.61,200,true,
267353,0,neuroroute,52.32,200,true,
319992,0,neuroroute,25.61,200,true,
1244956,0,neuroroute,29.16,200,true,
884802,0,neuroroute,49.07,200,true,
287282,0,neuroroute,21.15,200,true,
167617,0,neuroroute,2394.43,200,true,
93285,1,neuroroute,2159.42,200,true,
694092,1,neuroroute,2091.15,200,true,
290484,1,neuroroute,1810.91,200,true,
895860,0,neuroroute,100.27,200,true,
826004,0,neuroroute,100.84,200,true,
967887,0,neuroroute,94.85,200,true,
946036,0,neuroroute,105.46,200,true,
875179,0,neuroroute,107.47,200,true,
264214,1,neuroroute,1791.02,200,true,
297597,1,neuroroute,274.57,200,true,
763415,0,neuroroute,86.01,200,true,
42054,0,neuroroute,41.93,200,true,
405119,0,neuroroute,187.83,200,true,
836919,0,neuroroute,189.25,200,true,
987218,0,neuroroute,190.41,200,true,
761395,1,neuroroute,437.29,200,true,
9840,1,neuroroute,2019.85,200,true,
169419,0,neuroroute,252.16,200,true,
910008,0,neuroroute,271.88,200,true,
267280,1,neuroroute,2066.74,200,true,
595276,0,neuroroute,105.97,200,true,
106572,1,neuroroute,1902.96,200,true,
992009,1,neuroroute,1387.00,200,true,
5489,0,neuroroute,304.97,200,true,
9067,0,neuroroute,303.13,200,true,
1264219,0,neuroroute,338.78,200,true,
231971,0,neuroroute,335.14,200,true,
526286,0,neuroroute,333.12,200,true,
763071,0,neuroroute,336.94,200,true,
266539,0,neuroroute,223.39,200,true,
1048507,0,neuroroute,222.51,200,true,
809084,0,neuroroute,264.73,200,true,
148736,0,neuroroute,265.22,200,true,
5161,0,neuroroute,267.54,200,true,
232305,0,neuroroute,205.84,200,true,
638517,1,neuroroute,672.07,200,true,
1256487,1,neuroroute,630.81,200,true,
1163683,0,neuroroute,301.84,200,true,
479978,0,neuroroute,307.39,200,true,
85257,0,neuroroute,357.79,200,true,
7594,0,neuroroute,357.63,200,true,
116884,0,neuroroute,411.78,200,true,
1226456,0,neuroroute,415.75,200,true,
801147,0,neuroroute,414.35,200,true,
698298,0,neuroroute,360.90,200,true,
905132,0,neuroroute,389.36,200,true,
1052437,0,neuroroute,460.54,200,true,
43002,0,neuroroute,408.01,200,true,
217455,0,neuroroute,513.42,200,true,
911141,0,neuroroute,578.89,200,true,
389303,0,neuroroute,379.99,200,true,
375211,0,neuroroute,381.40,200,true,
267403,0,neuroroute,338.99,200,true,
836801,0,neuroroute,313.06,200,true,
84386,0,neuroroute,315.75,200,true,
405913,0,neuroroute,223.46,200,true,
456762,0,neuroroute,222.93,200,true,
1025679,0,neuroroute,273.31,200,true,
363798,0,neuroroute,275.58,200,true,
768763,0,neuroroute,275.89,200,true,
119123,0,neuroroute,190.49,200,true,
512746,0,neuroroute,191.92,200,true,
156566,0,neuroroute,110.28,200,true,
1149917,0,neuroroute,130.14,200,true,
1137169,0,neuroroute,182.48,200,true,
549658,0,neuroroute,135.79,200,true,
1029101,0,neuroroute,131.81,200,true,
