page_id,is_slow,routing_mode,response_time_ms,status_code,success,error
257092,0,neuroroute,125.29,200,true,
1021863,1,neuroroute,182.49,200,true,
951183,0,neuroroute,27.48,200,true,
1017681,0,neuroroute,41.50,200,true,
1058029,0,neuroroute,53.25,200,true,
366913,0,neuroroute,23.46,200,true,
589812,1,neuroroute,105.78,200,true,
513675,1,neuroroute,493.09,200,true,
715579,1,neuroroute,135.94,200,true,
253283,0,neuroroute,28.13,200,true,
39479,0,neuroroute,47.83,200,true,
1018120,0,neuroroute,35.96,200,true,
732453,1,neuroroute,199.29,200,true,
623744,0,neuroroute,35.15,200,true,
543161,0,neuroroute,35.36,200,true,
44129,0,neuroroute,63.10,200,true,
484601,1,neuroroute,202.75,200,true,
942648,1,neuroroute,230.43,200,true,
1082649,0,neuroroute,36.62,200,true,
79432,0,neuroroute,26.97,200,true,
88465,0,neuroroute,23.82,200,true,
727965,0,neuroroute,24.17,200,true,
1157348,1,neuroroute,142.21,200,true,
193004,0,neuroroute,23.17,200,true,
720754,0,neuroroute,24.56,200,true,
840748,1,neuroroute,217.99,200,true,
874067,0,neuroroute,25.86,200,true,
930508,0,neuroroute,24.84,200,true,
78450,0,neuroroute,30.14,200,true,
1143848,0,neuroroute,91.02,200,true,
617265,0,neuroroute,22.29,200,true,
149715,0,neuroroute,24.88,200,true,
10054,0,neuroroute,86.49,200,true,
795311,0,neuroroute,38.38,200,true,
716693,0,neuroroute,21.83,200,true,
405175,0,neuroroute,23.56,200,true,
981293,1,neuroroute,130.97,200,true,
10096,0,neuroroute,64.12,200,true,
117631,1,neuroroute,224.18,200,true,
968267,0,neuroroute,36.61,200,true,
150666,0,neuroroute,23.49,200,true,
643550,1,neuroroute,156.71,200,true,
1026359,0,neuroroute,24.47,200,true,
298647,0,neuroroute,22.51,200,true,
656188,0,neuroroute,62.61,200,true,
84280,0,neuroroute,23.41,200,true,
150661,0,neuroroute,71.04,200,true,
1259708,0,neuroroute,24.76,200,true,
1221752,1,neuroroute,115.04,200,true,
1202724,0,neuroroute,43.91,200,true,
795155,0,neuroroute,25.61,200,true,
829178,0,neuroroute,50.64,200,true,
649830,1,neuroroute,127.30,200,true,
957513,0,neuroroute,32.79,200,true,
79355,0,neuroroute,23.68,200,true,
513558,1,neuroroute,169.10,200,true,
746561,0,neuroroute,36.91,200,true,
447427,0,neuroroute,49.87,200,true,
1072515,0,neuroroute,72.50,200,true,
1045234,0,neuroroute,23.69,200,true,
314455,0,neuroroute,26.85,200,true,
854203,0,neuroroute,25.79,200,true,
1027700,0,neuroroute,64.28,200,true,
42910,0,neuroroute,22.01,200,true,
1111276,0,neuroroute,71.33,200,true,
2949,1,neuroroute,81.25,200,true,
344202,0,neuroroute,36.81,200,true,
759169,0,neuroroute,38.77,200,true,
945595,0,neuroroute,57.94,200,true,
267660,0,neuroroute,30.36,200,true,
811933,0,neuroroute,61.47,200,true,
472104,0,neuroroute,22.86,200,true,
757553,1,neuroroute,135.99,200,true,
1123655,0,neuroroute,33.37,200,true,
28786,0,neuroroute,29.42,200,true,
21238,0,neuroroute,24.14,200,true,
813101,0,neuroroute,55.84,200,true,
719614,0,neuroroute,33.35,200,true,
458489,1,neuroroute,135.44,200,true,
49563,1,neuroroute,194.96,200,true,
823926,0,neuroroute,23.77,200,true,
267680,0,neuroroute,48.65,200,true,
1144661,1,neuroroute,189.72,200,true,
1132039,0,neuroroute,44.91,200,true,
663348,0,neuroroute,53.86,200,true,
460638,1,neuroroute,130.34,200,true,
45851,0,neuroroute,25.33,200,true,
1098713,0,neuroroute,30.00,200,true,
941225,0,neuroroute,47.41,200,true,
149471,0,neuroroute,50.71,200,true,
758814,0,neuroroute,75.79,200,true,
612952,0,neuroroute,32.23,200,true,
763931,0,neuroroute,71.16,200,true,
750302,0,neuroroute,35.66,200,true,
157052,0,neuroroute,66.39,200,true,
931184,0,neuroroute,38.10,200,true,
10086,1,neuroroute,124.68,200,true,
1052428,1,neuroroute,141.99,200,true,
646747,0,neuroroute,34.73,200,true,
316155,0,neuroroute,28.58,200,true,
344866,0,neuroroute,35.23,200,true,
767940,0,neuroroute,30.35,200,true,
10045,1,neuroroute,123.76,200,true,
380442,0,neuroroute,29.78,200,true,
368766,0,neuroroute,31.80,200,true,
299264,0,neuroroute,66.48,200,true,
1045643,0,neuroroute,30.72,200,true,
209549,0,neuroroute,27.63,200,true,
816164,0,neuroroute,67.23,200,true,
592212,0,neuroroute,100.92,200,true,
233699,0,neuroroute,97.73,200,true,
21581,0,neuroroute,126.11,200,true,
1048967,0,neuroroute,28.11,200,true,
442754,0,neuroroute,30.26,200,true,
296239,0,neuroroute,30.73,200,true,
17333,0,neuroroute,65.66,200,true,
360391,1,neuroroute,280.26,200,true,
1144654,0,neuroroute,25.13,200,true,
1122721,1,neuroroute,220.30,200,true,
524101,0,neuroroute,22.43,200,true,
259827,1,neuroroute,130.74,200,true,
455501,0,neuroroute,39.75,200,true,
1234599,0,neuroroute,30.85,200,true,
10027,1,neuroroute,100.50,200,true,
1103957,0,neuroroute,21.51,200,true,
454626,0,neuroroute,30.32,200,true,
118462,0,neuroroute,25.03,200,true,
7554,0,neuroroute,81.76,200,true,
910720,1,neuroroute,379.00,200,true,
523227,0,neuroroute,28.63,200,true,
7825,0,neuroroute,71.15,200,true,
192023,0,neuroroute,23.43,200,true,
204172,0,neuroroute,25.66,200,true,
772376,0,neuroroute,68.87,200,true,
912427,1,neuroroute,327.65,200,true,
814984,0,neuroroute,31.83,200,true,
155532,0,neuroroute,31.93,200,true,
692614,0,neuroroute,34.16,200,true,
171466,0,neuroroute,69.39,200,true,
1186962,0,neuroroute,42.50,200,true,
454387,0,neuroroute,65.34,200,true,
230822,0,neuroroute,27.11,200,true,
1161434,0,neuroroute,68.88,200,true,
844058,0,neuroroute,26.17,200,true,
1228265,1,neuroroute,232.45,200,true,
843871,0,neuroroute,28.11,200,true,
890646,0,neuroroute,29.76,200,true,
