page_id,run_number,response_time_ms,status_code,success,error
27,1,68.3,200,1,
27,2,10.92,200,1,
27,3,9.56,200,1,
47,1,8.5,200,1,
47,2,9.62,200,1,
47,3,9.81,200,1,
52,1,12.93,200,1,
52,2,35.75,200,1,
52,3,13.37,200,1,
101,1,9.78,200,1,
101,2,11.04,200,1,
101,3,11.68,200,1,
103,1,9.48,200,1,
103,2,40.48,200,1,
103,3,8.25,200,1,
108,1,19.26,200,1,
108,2,22.56,200,1,
108,3,55.23,200,1,
123,1,3.83,200,1,
123,2,3.64,200,1,
123,3,3.33,200,1,
144,1,5.75,200,1,
144,2,6.0,200,1,
144,3,5.51,200,1,
171,1,3.91,200,1,
171,2,3.78,200,1,
171,3,4.48,200,1,
186,1,4.39,200,1,
186,2,4.54,200,1,
186,3,4.83,200,1,
218,1,13.45,200,1,
218,2,12.49,200,1,
218,3,16.75,200,1,
219,1,13.29,200,1,
219,2,13.39,200,1,
219,3,13.02,200,1,
291,1,9.22,200,1,
291,2,9.6,200,1,
291,3,39.24,200,1,
292,1,6.3,200,1,
292,2,6.42,200,1,
292,3,8.0,200,1,
391,1,14.68,200,1,
391,2,12.16,200,1,
391,3,12.17,200,1,
408,1,8.53,200,1,
408,2,33.18,200,1,
408,3,8.19,200,1,
430,1,5.92,200,1,
430,2,5.28,200,1,
430,3,5.47,200,1,
512,1,4.11,200,1,
512,2,4.1,200,1,
512,3,3.83,200,1,
515,1,8.82,200,1,
515,2,7.78,200,1,
515,3,7.74,200,1,
518,1,4.2,200,1,
518,2,3.9,200,1,
518,3,3.81,200,1,
536,1,3.67,200,1,
536,2,3.66,200,1,
536,3,3.76,200,1,
558,1,8.95,200,1,
558,2,8.52,200,1,
558,3,9.23,200,1,
566,1,11.56,200,1,
566,2,12.07,200,1,
566,3,12.47,200,1,
569,1,7.02,200,1,
569,2,8.7,200,1,
569,3,33.37,200,1,
600,1,10.76,200,1,
600,2,9.86,200,1,
600,3,10.19,200,1,
641,1,7.54,200,1,
641,2,7.97,200,1,
641,3,8.36,200,1,
666,1,4.26,200,1,
666,2,4.09,200,1,
666,3,4.43,200,1,
680,1,5.43,200,1,
680,2,5.07,200,1,
680,3,5.37,200,1,
700,1,38.28,200,1,
700,2,27.13,200,1,
700,3,69.22,200,1,
800,1,14.88,200,1,
800,2,15.19,200,1,
800,3,53.85,200,1,
802,1,9.15,200,1,
802,2,8.17,200,1,
802,3,7.76,200,1,
803,1,7.95,200,1,
803,2,7.94,200,1,
803,3,7.62,200,1,
856,1,9.42,200,1,
856,2,12.34,200,1,
856,3,32.89,200,1,
908,1,4.63,200,1,
908,2,5.39,200,1,
908,3,4.4,200,1,
937,1,3.47,200,1,
937,2,3.51,200,1,
937,3,3.52,200,1,
939,1,28.36,200,1,
939,2,54.11,200,1,
939,3,33.22,200,1,
1977,1,4.25,200,1,
1977,2,4.66,200,1,
1977,3,4.38,200,1,
2124,1,41.88,200,1,
2124,2,8.44,200,1,
2124,3,8.38,200,1,
2132,1,7.58,200,1,
2132,2,7.31,200,1,
2132,3,8.24,200,1,
2138,1,9.0,200,1,
2138,2,9.09,200,1,
2138,3,7.44,200,1,
2876,1,4.01,200,1,
2876,2,3.86,200,1,
2876,3,3.7,200,1,
2949,1,24.43,200,1,
2949,2,12.0,200,1,
2949,3,8.07,200,1,
2953,1,6.11,200,1,
2953,2,5.26,200,1,
2953,3,7.11,200,1,
2963,1,4.41,200,1,
2963,2,4.35,200,1,
2963,3,4.68,200,1,
2964,1,15.51,200,1,
2964,2,30.94,200,1,
2964,3,14.5,200,1,
2990,1,4.05,200,1,
2990,2,3.69,200,1,
2990,3,3.25,200,1,
3023,1,6.7,200,1,
3023,2,8.49,200,1,
3023,3,7.21,200,1,
3038,1,10.75,200,1,
3038,2,10.39,200,1,
3038,3,29.6,200,1,
3045,1,10.21,200,1,
3045,2,11.19,200,1,
3045,3,9.38,200,1,
3075,1,19.82,200,1,
3075,2,54.28,200,1,
3075,3,18.72,200,1,
3077,1,23.32,200,1,
3077,2,59.22,200,1,
3077,3,21.8,200,1,
3106,1,24.49,200,1,
3106,2,52.26,200,1,
3106,3,13.18,200,1,
3110,1,4.34,200,1,
3110,2,4.42,200,1,
3110,3,4.33,200,1,
3259,1,7.8,200,1,
3259,2,8.29,200,1,
3259,3,8.0,200,1,
3287,1,4.08,200,1,
3287,2,3.83,200,1,
3287,3,4.0,200,1,
3316,1,4.68,200,1,
3316,2,3.73,200,1,
3316,3,3.62,200,1,
3358,1,3.78,200,1,
3358,2,3.79,200,1,
3358,3,3.89,200,1,
3375,1,3.72,200,1,
3375,2,3.73,200,1,
3375,3,3.85,200,1,
3427,1,14.05,200,1,
3427,2,13.89,200,1,
3427,3,13.76,200,1,
3447,1,7.66,200,1,
3447,2,7.43,200,1,
3447,3,7.39,200,1,
3460,1,27.47,200,1,
3460,2,7.73,200,1,
3460,3,23.04,200,1,
3478,1,3.78,200,1,
3478,2,3.95,200,1,
3478,3,3.54,200,1,
3511,1,3.93,200,1,
3511,2,3.37,200,1,
3511,3,3.49,200,1,
3581,1,7.91,200,1,
3581,2,7.92,200,1,
3581,3,8.07,200,1,
3600,1,7.84,200,1,
3600,2,7.77,200,1,
3600,3,7.92,200,1,
3611,1,3.68,200,1,
3611,2,3.84,200,1,
3611,3,4.05,200,1,
3707,1,9.86,200,1,
3707,2,9.89,200,1,
3707,3,10.19,200,1,
3730,1,3.28,200,1,
3730,2,3.74,200,1,
3730,3,3.55,200,1,
3741,1,4.01,200,1,
3741,2,4.48,200,1,
3741,3,3.63,200,1,
3762,1,7.81,200,1,
